artifact_id,artifact_name,workflow_run_id,created_at,fold,N,mae,rmse,r2,hit_rate,sharpe_long_only,sharpe_long_short,positive_signal_precision,positive_signal_coverage,mean_actual_return,validation_start,validation_end,hit_rate_vix_gt_20,n_vix_gt_20
10376338946,regime-analysis-118,34912551669,2026-09-15T01:48:02Z,2,4830,0.017949566966416957,0.03389480101102207,0.1571830902352912,0.6426501035196688,2.1716603620272306,2.2129760209415106,0.6421433127790772,0.9737060041407868,0.010885529337102694,2025-11-14,2026-01-28,0.7668308702791461,609
10376338946,regime-analysis-118,34912551669,2026-09-15T01:48:02Z,3,4830,0.02269154605411479,0.03550384598175469,-0.09603482405988983,0.5329192546583851,0.4526678530376279,0.41188884387953784,0.5370950888192267,0.9906832298136646,0.0023406540881419037,2026-01-29,2026-04-10,0.5267489711934157,3402
10376338946,regime-analysis-118,34912551669,2026-09-15T01:48:02Z,4,4830,0.02431236398087942,0.03903019714892771,-0.1309058167564423,0.4629399585921325,-0.12001072982252264,-0.2696860728815819,0.463519313304721,0.2894409937888199,0.0006625182245072325,2026-04-13,2026-06-23,0.35714285714285715,210
10376338946,regime-analysis-118,34912551669,2026-09-15T01:48:02Z,5,4805,0.019366305809443055,0.030852907129981715,-0.15411933631821007,0.454942767950052,0.2963551233593656,0.3222315386884826,0.44987829165744636,0.9404786680541103,0.0010865523270943132,2026-06-24,2026-09-02,0.6190476190476191,105
10288715712,regime-analysis-117,34659664734,2026-09-12T01:24:39Z,1,4830,0.019639828076648914,0.0314594523567209,-0.17270951740261498,0.3865424430641822,-0.4459390827440345,-1.3855996369113432,0.4118129614438064,0.2523809523809524,0.003719292096284177,2025-09-05,2025-11-13,0.45714285714285713,525
10288715712,regime-analysis-117,34659664734,2026-09-12T01:24:39Z,2,4830,0.017949566966416957,0.03389480101102207,0.1571830902352912,0.6426501035196688,2.1716603620272306,2.2129760209415106,0.6421433127790772,0.9737060041407868,0.010885529337102694,2025-11-14,2026-01-28,0.7668308702791461,609
10288715712,regime-analysis-117,34659664734,2026-09-12T01:24:39Z,3,4830,0.02269154605411479,0.03550384598175469,-0.09603482405988983,0.5329192546583851,0.4526678530376279,0.41188884387953784,0.5370950888192267,0.9906832298136646,0.0023406540881419037,2026-01-29,2026-04-10,0.5267489711934157,3402
10288715712,regime-analysis-117,34659664734,2026-09-12T01:24:39Z,4,4830,0.02431236398087942,0.03903019714892771,-0.1309058167564423,0.4629399585921325,-0.12001072982252264,-0.2696860728815819,0.463519313304721,0.2894409937888199,0.0006625182245072325,2026-04-13,2026-06-23,0.35714285714285715,210
10288715712,regime-analysis-117,34659664734,2026-09-12T01:24:39Z,5,4805,0.019366305809443055,0.030852907129981715,-0.15411933631821007,0.454942767950052,0.2963551233593656,0.3222315386884826,0.44987829165744636,0.9404786680541103,0.0010865523270943132,2026-06-24,2026-09-02,0.6190476190476191,105
10180621647,regime-analysis-116,34543403027,2026-09-11T01:24:46Z,1,4830,0.018001202063497673,0.02971433980834819,-0.06389458884134358,0.4501035196687371,0.21410954411049404,-0.8285064615729941,0.5528401585204755,0.3134575569358178,0.004437571599325179,2025-09-04,2025-11-12,0.4666666666666667,525
10180621647,regime-analysis-116,34543403027,2026-09-11T01:24:46Z,2,4830,0.0185248869755931,0.03459382885900789,0.05113057526506293,0.6484472049689441,2.423565999613751,2.2199302269659777,0.6721981721981722,0.8608695652173913,0.01174050077424248,2025-11-13,2026-01-27,0.7708333333333334,672
10180621647,regime-analysis-116,34543403027,2026-09-11T01:24:46Z,3,4830,0.019505244499361724,0.032412588608891645,0.10078119790622575,0.6619047619047619,1.2049514694897046,1.758809939145502,0.6322280076733352,0.7554865424430642,0.0017062638122907416,2026-01-28,2026-04-09,0.6939203354297694,3339
10180621647,regime-analysis-116,34543403027,2026-09-11T01:24:46Z,4,4830,0.024006044289001206,0.03801423624000084,-0.07910193772585727,0.4374741200828157,-0.16618683455360522,-0.38899069460507696,0.4402379664683613,0.38281573498964805,0.0009220169854274638,2026-04-10,2026-06-22,0.2761904761904762,210
10180621647,regime-analysis-116,34543403027,2026-09-11T01:24:46Z,5,4805,0.019837678525601404,0.03151888016894351,-0.19447390511108575,0.44391259105098857,0.21801467778344266,0.1638707271850026,0.44533275713050996,0.9631633714880333,0.001092540465035354,2026-06-23,2026-09-01,0.6190476190476191,105
10131816256,regime-analysis-115,34418587479,2026-09-10T00:59:56Z,1,4830,0.017370750942369693,0.028921382901898017,-0.023313786439004724,0.527536231884058,0.9337146883386769,0.45708236274632347,0.6009174311926605,0.6318840579710145,0.005158655243349027,2025-09-03,2025-11-11,0.5714285714285714,525
10131816256,regime-analysis-115,34418587479,2026-09-10T00:59:56Z,2,4830,0.01834499551488108,0.0333713955446154,0.06634995468934424,0.6391304347826087,2.5277220317997595,2.3685794514978546,0.6613014486088756,0.9004140786749483,0.012036866615200264,2025-11-12,2026-01-26,0.7815126050420168,714
10131816256,regime-analysis-115,34418587479,2026-09-10T00:59:56Z,3,4830,0.020358416359095282,0.034497212690267016,0.009207368625113843,0.6511387163561076,0.8574955403914118,1.3400990151336423,0.6250709018718095,0.7300207039337474,0.0008128370981016943,2026-01-27,2026-04-08,0.6832565284178187,3255
10131816256,regime-analysis-115,34418587479,2026-09-10T00:59:56Z,4,4830,0.024473021004003406,0.040112214887447664,-0.21654516110633182,0.5101449275362319,0.25000148451743226,0.20318755212495215,0.5159491412000893,0.9281573498964804,0.0014318486647789158,2026-04-09,2026-06-18,0.7619047619047619,210
10131816256,regime-analysis-115,34418587479,2026-09-10T00:59:56Z,5,4805,0.01844143012513365,0.02986323178720828,-0.06601453725456174,0.49281997918834547,0.28385464327521354,0.23509169304060565,0.46295143212951434,0.6684703433922997,0.0011666859383785738,2026-06-22,2026-08-31,0.638095238095238,105
10084188403,regime-analysis-114,34292357319,2026-09-09T01:23:02Z,1,4830,0.019332720870053683,0.031355974041780865,-0.21965422323625305,0.3552795031055901,-0.5636962120069632,-1.729969875052697,0.332378223495702,0.07225672877846791,0.005777117769967433,2025-09-02,2025-11-10,0.23047619047619047,525
10084188403,regime-analysis-114,34292357319,2026-09-09T01:23:02Z,2,4830,0.01801287425158634,0.03255039010189881,0.06893112284132996,0.6523809523809524,2.4853605362226356,2.4637868371971003,0.6544569129790387,0.9778467908902692,0.011885982354344203,2025-11-11,2026-01-23,0.7324929971988795,714
10084188403,regime-analysis-114,34292357319,2026-09-09T01:23:02Z,3,4830,0.022368763237400544,0.03825985557265426,-0.17737646429387555,0.5376811594202898,-0.008175652618667274,0.02057241547280868,0.5316870629370629,0.9474120082815735,-0.0001794057653544862,2026-01-26,2026-04-07,0.5238095238095238,3150
10084188403,regime-analysis-114,34292357319,2026-09-09T01:23:02Z,4,4830,0.022695200949271386,0.03604880784069441,0.0025619100012256313,0.5273291925465838,0.7710998330653426,0.7830907668885735,0.538232668848557,0.6958592132505176,0.002127276409873862,2026-04-08,2026-06-17,0.3333333333333333,231
10084188403,regime-analysis-114,34292357319,2026-09-09T01:23:02Z,5,4805,0.018821201702117443,0.030259129731107417,-0.08710134650882684,0.49323621227887615,0.47424603144013633,0.5427059865963957,0.47096601552047096,0.7777315296566077,0.0012587306837010576,2026-06-18,2026-08-28,0.6190476190476191,105
10037317268,regime-analysis-113,34171829724,2026-09-08T01:18:24Z,1,4830,0.01898877798086218,0.03047082563924376,-0.16844181074141584,0.3966873706004141,0.5353045467718431,-1.1115464911856323,0.622895622895623,0.12298136645962733,0.0062378542124767,2025-08-29,2025-11-07,0.43047619047619046,525
10037317268,regime-analysis-113,34171829724,2026-09-08T01:18:24Z,2,4830,0.01780633110516383,0.031243297552123964,0.10865746722578018,0.6395445134575569,2.4745419111201348,2.326387751158864,0.6447564348011061,0.9732919254658385,0.011367966622912994,2025-11-10,2026-01-22,0.7359307359307359,693
10037317268,regime-analysis-113,34171829724,2026-09-08T01:18:24Z,3,4830,0.022985633739952206,0.03957567302831389,-0.20947082454143784,0.4989648033126294,-0.26244931304563185,-0.25616148738865957,0.5044190558309981,0.9604554865424431,-0.0013561562914902933,2026-01-23,2026-04-06,0.4827586206896552,3045
10037317268,regime-analysis-113,34171829724,2026-09-08T01:18:24Z,4,4830,0.022959635292444613,0.0365289888316827,-0.03723349328969894,0.48819875776397514,0.6192359579891396,0.384694037325894,0.5205585725368502,0.5337474120082816,0.002821828379692342,2026-04-07,2026-06-16,0.4139194139194139,273
