feature,regime,N,hit_rate,positive_signal_precision,positive_signal_coverage,sharpe_long_only,mean_actual_forward_return,mean_long_only_return
origin_spy_trend_ma50_200,"(0.0634, 0.0795]",6028,0.5275381552753815,0.5645765091249415,0.7090245520902455,0.6725597401522501,0.00489431179694721,0.0032037408088846546
origin_spy_trend_ma50_200,"(0.0795, 0.0902]",5985,0.5682539682539682,0.585924089261873,0.8760233918128655,1.367565960410714,0.004780264974926116,0.005351878339301118
origin_spy_volatility_20d,"(0.0557, 0.103]",6085,0.533607230895645,0.5543526292532037,0.7437962202136401,1.4061742308817158,0.00543746125418788,0.005745015098042439
origin_spy_volatility_20d,"(0.103, 0.124]",6080,0.5453947368421053,0.5336426914153132,0.7088815789473685,0.24636882913302507,0.0003060562299108788,0.0012053345079058415
origin_spy_volatility_20d,"(0.124, 0.139]",6017,0.5838457703174339,0.555281950258557,0.674921057005152,0.4101113084097762,-0.0005787993795451688,0.0013851397900989048
origin_spy_volatility_20d,"(0.139, 0.207]",5943,0.5574625609961299,0.5791534588849524,0.9024061921588423,1.1698511026416105,0.0058827078757903535,0.00512709975829201
origin_spy_volatility_60d,"(0.0849, 0.112]",6090,0.4995073891625616,0.5132723622574169,0.7361247947454844,0.5275072832736855,0.002251390292659424,0.0018901428482282095
origin_spy_volatility_60d,"(0.112, 0.127]",5985,0.5821219715956558,0.5491071428571429,0.7485380116959064,0.05141595668876502,-0.0015027771530459705,0.00024844908306250184
origin_spy_volatility_60d,"(0.127, 0.14]",6065,0.559439406430338,0.5698088039128502,0.7416323165704864,1.3311438955780284,0.005636078323067145,0.005241417641698103
origin_spy_volatility_60d,"(0.14, 0.158]",5985,0.5797827903091061,0.593040216711815,0.8018379281537177,1.3702185338430917,0.004599233082367952,0.0060659072607305645
origin_spy_vol_change_20d,"(-0.517, -0.305]",6080,0.5703947368421053,0.6139368138023751,0.734046052631579,1.989994560205978,0.008980823507146104,0.008292206246063695
origin_spy_vol_change_20d,"(-0.305, -0.00311]",6033,0.5431791811702305,0.5035246727089627,0.6583789159622079,0.5834833146451693,0.0001994312421474335,0.0022513341174677346
origin_spy_vol_change_20d,"(-0.00311, 0.27]",6048,0.5603505291005291,0.5377295861916354,0.7471891534391535,0.226515093696719,-0.00011226765770345214,0.0008955812110886228
origin_spy_vol_change_20d,"(0.27, 1.673]",5964,0.545774647887324,0.5653976630229929,0.8896713615023474,0.40700260235842317,0.0018944483291678253,0.0019577804810188113
origin_market_breadth_20d,"(0.0466, 0.429]",6275,0.6159362549800796,0.6280951213532728,0.6500398406374502,1.5490129184311996,0.005714728122122422,0.006419453221411864
origin_market_breadth_20d,"(0.429, 0.619]",5838,0.5455635491606715,0.5186818287305639,0.7380952380952381,0.2211163657229292,-0.0010501825797807787,0.0008024794511184257
origin_market_breadth_20d,"(0.619, 0.81]",7119,0.5401039471835932,0.5425046476254859,0.8311560612445568,0.6760199004513686,0.0021628271950012105,0.0029942223441589808
origin_market_breadth_20d,"(0.81, 1.0]",4893,0.5097077457592479,0.5469026548672566,0.8082975679542204,0.6511873993904959,0.0043531475131654545,0.0030265231539247264
origin_market_breadth_252d,"(0.713, 0.905]",7655,0.4986283474853037,0.5203297732808694,0.6971913781841933,0.5086601350441207,0.0023747670551596844,0.0017166936511161252
origin_market_breadth_252d,"(0.905, 0.952]",5550,0.5812612612612612,0.5755444646098004,0.7942342342342342,1.1963479574296185,0.004071215472899522,0.004592253492405315
origin_market_breadth_252d,"(0.952, 1.0]",10920,0.5811355311355312,0.570287727539636,0.7797619047619048,0.7933242858109976,0.0023490826892720194,0.0038885800254639972
origin_market_breadth_above_sma200,"(0.38, 0.714]",6128,0.5241514360313316,0.5131758291685597,0.7183420365535248,0.7124457212173788,0.0027472961637969684,0.002729538655226057
origin_market_breadth_above_sma200,"(0.714, 0.952]",7392,0.5907738095238095,0.5528205128205128,0.6594967532467533,0.6524846435681729,-0.0002957641805970527,0.002691997311937179
origin_market_breadth_above_sma200,"(0.952, 1.0]",10605,0.5478547854785478,0.5806523433151508,0.8470532767562471,0.9291976709850647,0.004882312925970371,0.004192902748811446
origin_cross_asset_daily_volatility,"(0.0015400000000000001, 0.00848]",6043,0.5546913784544101,0.5702460335709358,0.719675657785868,1.1558934320994791,0.004615771000392128,0.0044437448576921815
origin_cross_asset_daily_volatility,"(0.00848, 0.0114]",6090,0.5231527093596059,0.5152535240900484,0.7804597701149425,0.4832798267416063,0.0008178623996311877,0.0018691735695040858
origin_cross_asset_daily_volatility,"(0.0114, 0.0155]",6064,0.5512862796833773,0.5331111111111111,0.7420844327176781,0.2294823804982554,-9.064582415705404e-05,0.0009698586223440774
origin_cross_asset_daily_volatility,"(0.0155, 0.0647]",5928,0.5917678812415654,0.6101331043366252,0.7857624831309041,1.2780852748537446,0.005752675566338564,0.006237103704622481
origin_cross_asset_return_20d_dispersion,"(0.0172, 0.0459]",6054,0.5502147340601256,0.5306328093510682,0.819623389494549,0.7461637800312861,0.0022105673866693646,0.0028720064396099963
origin_cross_asset_return_20d_dispersion,"(0.0459, 0.0577]",6043,0.560979645871256,0.5454322200392927,0.673837497931491,0.46880682892452696,0.0010321148834469152,0.0017383660794312679
origin_cross_asset_return_20d_dispersion,"(0.0577, 0.0708]",6001,0.5412431261456424,0.5842668658202639,0.6693884352607898,1.0807940860263459,0.004446390899866691,0.004135213439368733
origin_cross_asset_return_20d_dispersion,"(0.0708, 0.157]",6027,0.5674464907914385,0.5699750431944711,0.864277418284387,0.8849062380824069,0.003338880646926188,0.004709490892177941
